Rank,Name,Net Worth,Num Worth,Age,Gender,Source,Country of Citizenship,What I Learned
#452,Russ Weiner,$3.9 B,$3.90,46,Male,energy drinks,United States,
#563,John Overdeck,$3.3 B,$3.30,46,Male,hedge funds,United States,
#1129,Larry Robbins,$1.8 B,$1.80,46,Male,hedge funds,United States,
#1262,Jonathan Gray,$1.6 B,$1.60,46,Male,investments,United States,
#1836,Thomas Tull,$1 B,$1,46,Male,Movies,United States,
#81,Robin Li,$13.1 B,$13.10,47,Male,internet search,China,
#804,Cai Dongqing,$2.5 B,$2.50,47,Male,animation,China,
#821,Ma Xingtian,$2.5 B,$2.50,47,Male,pharmaceuticals,China,
#869,Wong Kwong Yu,$2.3 B,$2.30,47,Male,retail,China,
#1102,Huang Wenji,$1.8 B,$1.80,47,Male,umbrellas,China,
#1350,Liang Yunchao,$1.5 B,$1.50,47,Male,nutrition supplements,China,
#1434,Wang Junjin,$1.4 B,$1.40,47,Male,regional airline,China,
#1693,Zhou Yifeng,$1.2 B,$1.20,47,Male,chemicals,China,
#1714,Wang Junmin,$1.1 B,$1.10,47,Male,pharmaceuticals,China,
#1150,Karel Komarek,$1.8 B,$1.80,47,Male,oil and gas/lottery,Czech Republic,
#1584,Zhang Zhirong,$1.3 B,$1.30,47,Male,"real estate, shipbuilding",Hong Kong,
#1832,Amit Burman,$1 B,$1,47,Male,consumer goods,India,
#1578,Dmitry Ananyev,$1.3 B,$1.30,47,Male,"banking, IT, real estate",Russia,
#1817,Mathias Kamprad,$1 B,$1,47,Male,IKEA,Sweden,
#173,Ken Griffin,$7.5 B,$7.50,47,Male,hedge funds,United States,
#937,Jerry Yang,$2.2 B,$2.20,47,Male,Yahoo,United States,
#1073,Lorenzo Fertitta,$1.9 B,$1.90,47,Male,"casinos, Ultimate Fighting Championship",United States,
#1144,Eric Lefkofsky,$1.8 B,$1.80,47,Male,Groupon,United States,
#1409,David Einhorn,$1.4 B,$1.40,47,Male,hedge funds,United States,
#1214,Andre Esteves,$1.7 B,$1.70,48,Male,banking,Brazil,
#155,Wang Wenyin,$8.5 B,$8.50,48,Male,"mining, copper products",China,
#315,Ji Changqun,$5.1 B,$5.10,48,Male,real estate,China,
#865,Liang Xinjun,$2.3 B,$2.30,48,Male,conglomerate,China,
#1285,Ma Hong,$1.6 B,$1.60,48,Male,apparel retailer,China,
#1462,Shao Zhongyi,$1.4 B,$1.40,48,Male,soybean trading,China,
#1657,Su Weizhong,$1.2 B,$1.20,48,Male,"oil, fertilizers",China,
#1773,Zhuang Min,$1.1 B,$1.10,48,Male,surveillance equipment,China,
#1779,Lin Bin,$1.1 B,$1.10,48,Male,smartphones,China,
#1050,Sit Kwong Lam,$2 B,$2,48,Male,"oil, transportation",Hong Kong,
#915,Emilio Azcarraga Jean,$2.2 B,$2.20,48,Male,TV broadcasting,Mexico,
#1801,Dariusz Milek,$1.1 B,$1.10,48,Male,"real estate, retail",Poland,
#538,Oleg Deripaska,$3.5 B,$3.50,48,Male,"aluminum, utilities",Russia,
#592,Dmitry Kamenshchik,$3.3 B,$3.30,48,Male,airport,Russia,
#668,Alexander Svetakov,$2.9 B,$2.90,48,Male,"banking, real estate",Russia,
#909,Alexander Skorobogatko,$2.3 B,$2.30,48,Male,ports,Russia,
#208,Jay Y. Lee,$6.6 B,$6.60,48,Male,Samsung,South Korea,
#510,Kim Jung-Ju,$3.6 B,$3.60,48,Male,online games,South Korea,
#1173,Alfred Gantner,$1.7 B,$1.70,48,Male,private equity,Switzerland,
#1276,Tony Chen,$1.6 B,$1.60,48,Male,eletronics,Taiwan,
#922,Erman Ilicak,$2.2 B,$2.20,48,Male,construction,Turkey,
#1637,Yuriy Kosiuk,$1.2 B,$1.20,48,Male,agriculture,Ukraine,
#649,Michael Platt,$3 B,$3,48,Male,hedge funds,United Kingdom,
#1563,Jonathan Harmsworth,$1.3 B,$1.30,48,Male,publishing,United Kingdom,
#732,Peter Thiel,$2.7 B,$2.70,48,Male,"Facebook, Palantir",United States,
#1272,Alexander Karp,$1.6 B,$1.60,48,Male,software firm,United States,
#966,Pham Nhat Vuong,$2.1 B,$2.10,48,Male,real estate,Vietnam,
#429,James Packer,$4.1 B,$4.10,49,Male,casinos,Australia,
#223,Guo Guangchang,$6.3 B,$6.30,49,Male,conglomerate,China,
#449,Wang Wenxue,$4 B,$4,49,Male,real estate,China,
#587,Jiang Bin,$3.3 B,$3.30,49,Male,acoustic components,China,
#610,Li Hejun,$3.2 B,$3.20,49,Male,renewable energy,China,
#714,Fu Liquan,$2.8 B,$2.80,49,Male,surveillance equipment,China,
#851,Xiao Wenge,$2.4 B,$2.40,49,Male,entertainment,China,
#1463,Liu Xiaodong,$1.4 B,$1.40,49,Male,flavorings,China,
#1764,Zhao Xiaoqiang,$1.1 B,$1.10,49,Male,apparel,China,
#1798,Stelios Haji-Ioannou,$1.1 B,$1.10,49,Male,EasyJet,Cyprus,
#174,Xavier Niel,$7.5 B,$7.50,49,Male,"internet, telecom",France,
#670,Jean-Michel Besnier,$2.9 B,$2.90,49,Male,cheese,France,
#434,Axel Oberwelland,$4 B,$4,49,Male,candy,Germany,
#924,Alfred Oetker,$2.2 B,$2.20,49,Male,consumer goods,Germany,
#1514,Peter Leibinger,$1.3 B,$1.30,49,Male,machine tools,Germany,
#372,Richard Li,$4.6 B,$4.60,49,Male,telecom,Hong Kong,
#1308,Thor Bjorgolfsson,$1.6 B,$1.60,49,Male,investments,Iceland,
#151,Kumar Birla,$8.6 B,$8.60,49,Male,commodities,India,
#1820,Satish Reddy,$1 B,$1,49,Male,pharmaceuticals,India,
#973,Gil Shwed,$2.1 B,$2.10,49,Male,software,Israel,
#698,Johan Johannson,$2.8 B,$2.80,49,Male,grocery stores,Norway,
#163,Roman Abramovich,$8.1 B,$8.10,49,Male,"steel, investments",Russia,
#167,Dmitry Rybolovlev,$7.8 B,$7.80,49,Male,fertilizer,Russia,
#198,Sergei Galitsky,$6.9 B,$6.90,49,Male,retail,Russia,
#706,Igor Kesaev,$2.8 B,$2.80,49,Male,"tobacco distribution, retail",Russia,
#962,Vadim Moshkovich,$2.1 B,$2.10,49,Male,"agriculture, land",Russia,
#1011,Yuri Shefler,$2 B,$2,49,Male,alcohol,Russia,
#1594,Roman Avdeev,$1.2 B,$1.20,49,Male,"banking, development",Russia,
#1611,Nikolai Buinov,$1.2 B,$1.20,49,Male,oil & gas,Russia,
#1588,Kim Taek-Jin,$1.2 B,$1.20,49,Male,online games,South Korea,
#1659,Lee Hae-Jin,$1.2 B,$1.20,49,Male,Internet portal,South Korea,
#770,Erik Selin,$2.6 B,$2.60,49,Male,Balder,Sweden,
#1662,Somphote Ahunai,$1.2 B,$1.20,49,Male,energy,Thailand,
#683,Rinat Akhmetov,$2.9 B,$2.90,49,Male,"steel, coal",Ukraine,
#1183,Christopher Hohn,$1.7 B,$1.70,49,Male,Hedge fund,United Kingdom,
#162,Pierre Omidyar,$8.1 B,$8.10,49,Male,eBay,United States,
#474,Reid Hoffman,$3.8 B,$3.80,49,Male,LinkedIn,United States,
#348,Wang Chuanfu,$4.9 B,$4.90,50,Male,"batteries, autos",China,
#997,Che Jianxing,$2.1 B,$2.10,50,Male,furniture retailing,China,
#1019,Kei Hoi Pang,$2 B,$2,50,Male,real estate,China,
#1091,Chen Hua,$1.9 B,$1.90,50,Male,real estate,China,
#1186,Huang Hongyun,$1.7 B,$1.70,50,Male,real estate,China,
#1206,Shuai Fangwen,$1.7 B,$1.70,50,Male,pharmaceuticals,China,
#1419,Chen Qingzhou,$1.4 B,$1.40,50,Male,communications equipment,China,
#51,Stefan Quandt,$16.5 B,$16.50,50,Male,BMW,Germany,
#1021,Georg von Opel,$2 B,$2,50,Male,real estate/investments,Germany,
#1162,Torsten Toeller,$1.8 B,$1.80,50,Male,pet food,Germany,
#734,Li Wa,$2.7 B,$2.70,50,Male,real estate,Hong Kong,
#1295,Jitendra Virwani,$1.6 B,$1.60,50,Male,real estate,India,
#1726,Balkrishan Goenka,$1.1 B,$1.10,50,Male,textiles,India,
#1241,Marius Nacht,$1.6 B,$1.60,50,Male,software,Israel,
#862,Timur Kulibaev,$2.4 B,$2.40,50,Male,banking,Kazakhstan,
#941,Bahaa Hariri,$2.2 B,$2.20,50,Male,"real estate, investments, logistics",Lebanon,
#73,Alexey Mordashov,$13.4 B,$13.40,50,Male,"steel, investments",Russia,
#183,Suleiman Kerimov,$7.2 B,$7.20,50,Male,investments,Russia,
#235,Andrei Skoch,$6.1 B,$6.10,50,Male,steel,Russia,
#501,Zarakh Iliev,$3.7 B,$3.70,50,Male,real estate,Russia,
#1630,Gleb Fetisov,$1.2 B,$1.20,50,Male,investments,Russia,
#1756,Eugene Kaspersky,$1.1 B,$1.10,50,Male,software,Russia,
#1799,Konstantin Grigorishin,$1.1 B,$1.10,50,Male,power engineering,Russia,
#1257,Kim Beom-Su,$1.6 B,$1.60,50,Male,mobile chat service,South Korea,
#1817,Jonas Kamprad,$1 B,$1,50,Male,IKEA,Sweden,
#150,Ernesto Bertarelli,$8.6 B,$8.60,50,Male,"biotech, investments",Switzerland,
#357,Robert Ziff,$4.8 B,$4.80,50,Male,investments,United States,
#582,David Filo,$3.3 B,$3.30,50,Male,Yahoo,United States,
#1237,William Ackman,$1.7 B,$1.70,50,Male,hedge funds,United States,
#1567,Aneel Bhusri,$1.3 B,$1.30,50,Male,business software,United States,
#1614,Mark Pincus,$1.2 B,$1.20,50,Male,online games,United States,
#1356,Lorenzo Mendoza,$1.5 B,$1.50,50,Male,beverages,Venezuela,
#815,Fiona Geminder,$2.5 B,$2.50,51,Male,packaging,Australia,
#837,Chen Bang,$2.4 B,$2.40,51,Male,hospitals,China,
#985,Wang Changtian,$2.1 B,$2.10,51,Male,"TV, movie production",China,
#1039,Zhou Chengjian,$2 B,$2,51,Male,apparel retailer,China,
#1051,Qin Yinglin,$2 B,$2,51,Male,pig breeding,China,
#1110,Wang Wenjing,$1.8 B,$1.80,51,Male,business software,China,
#1248,Wang Laisheng,$1.6 B,$1.60,51,Male,electronics components,China,
#1293,Wen Yibo,$1.6 B,$1.60,51,Male,wastewater treatment,China,
#1482,Huang Qisen,$1.3 B,$1.30,51,Male,real estate,China,
#1487,Zhou Guohui,$1.3 B,$1.30,51,Male,logistics,China,
#1613,Liu Zhenguo,$1.2 B,$1.20,51,Male,sewage treatment,China,
#1686,Yao Xinyi,$1.2 B,$1.20,51,Male,air conditioning,China,
#1722,Gu Wei,$1.1 B,$1.10,51,Male,consumer electronics,China,
#1735,Liang Zhaoxian,$1.1 B,$1.10,51,Male,appliances,China,
#1858,Don Gao,$1 B,$1,51,Male,power tools,China,
#1305,Henri Beaufour,$1.6 B,$1.60,51,Male,pharmaceuticals,France,
#36,Georg Schaeffler,$19.9 B,$19.90,51,Male,automotive,Germany,
#234,Ludwig Merckle,$6.1 B,$6.10,51,Male,pharmaceuticals,Germany,
#277,Gong Hongjia,$5.4 B,$5.40,51,Male,investments,Hong Kong,
#1077,Wong Man Li,$1.9 B,$1.90,51,Male,furniture,Hong Kong,
#1640,Liu Zhiqiang,$1.2 B,$1.20,51,Male,conglomerate,Hong Kong,
#659,Kalanithi Maran,$3 B,$3,51,Male,media,India,
#1840,Andrea Della Valle,$1 B,$1,51,Male,shoes,Italy,
#166,Hiroshi Mikitani,$7.8 B,$7.80,51,Male,online retail,Japan,
#737,Yasumitsu Shigeta,$2.7 B,$2.70,51,Male,mobile telecom,Japan,
#156,Mikhail Prokhorov,$8.5 B,$8.50,51,Male,investments,Russia,
#493,Samvel Karapetyan,$3.7 B,$3.70,51,Male,development,Russia,
#909,Alexander Ponomarenko,$2.3 B,$2.30,51,Male,ports,Russia,
#1565,Lev Kvetnoi,$1.3 B,$1.30,51,Male,"cement, airport",Russia,
#1658,Oleg Boyko,$1.2 B,$1.20,51,Male,diversified,Russia,
#1173,Marcel Erni,$1.7 B,$1.70,51,Male,private equity,Switzerland,
#38,Michael Dell,$19.8 B,$19.80,51,Male,Dell,United States,
#423,Jeffrey Skoll,$4.1 B,$4.10,51,Male,eBay,United States,
#478,Marc Benioff,$3.8 B,$3.80,51,Male,business software,United States,
#520,Dan Friedkin,$3.6 B,$3.60,51,Male,Toyota dealerships,United States,
#555,Jay Robert (J.B.) Pritzker,$3.4 B,$3.40,51,Male,"hotels, investments",United States,
#795,Joshua Harris,$2.5 B,$2.50,51,Male,private equity,United States,
#960,Dan Snyder,$2.1 B,$2.10,51,Male,Washington Redskins,United States,
#1313,Brian Higgins,$1.6 B,$1.60,51,Male,Hedge fund,United States,
#1825,Robert Citrone,$1 B,$1,51,Male,hedge fund,United States,
#258,Joseph Tsai,$5.8 B,$5.80,52,Male,e-commerce,Canada,
#22,Jack Ma,$28.3 B,$28.30,52,Male,Alibaba,China,
#290,Wei Jianjun,$5.3 B,$5.30,52,Male,automobiles,China,
#397,Ma Jianrong,$4.4 B,$4.40,52,Male,"textiles, apparel",China,
#628,Liu Zhongtian,$3.1 B,$3.10,52,Male,aluminum products,China,
#634,Wang Yusuo,$3.1 B,$3.10,52,Male,natural gas distribution,China,
#810,Li Li,$2.5 B,$2.50,52,Male,pharmaceuticals,China,
#961,Lam Kong,$2.1 B,$2.10,52,Male,pharmaceuticals,China,
#1026,Yuan Yafei,$2 B,$2,52,Male,"retailing, investments",China,
#1159,Ding Shijia,$1.8 B,$1.80,52,Male,sportswear,China,
#1353,Wang Jiufang,$1.5 B,$1.50,52,Male,real estate,China,
#1491,Ou Zongrong,$1.3 B,$1.30,52,Male,real estate,China,
#1494,Liu Yiqian,$1.3 B,$1.30,52,Male,investments,China,
#1516,Hua Yong,$1.3 B,$1.30,52,Male,software,China,
#1670,Pan Weiming,$1.2 B,$1.20,52,Male,real estate,China,
#1671,Zhu Jiman,$1.2 B,$1.20,52,Male,pharmaceuticals,China,
#1679,Liu Shaoxi,$1.2 B,$1.20,52,Male,real estate,China,
#1720,Zheng Xiaodong,$1.1 B,$1.10,52,Male,manufacturing,China,
#1803,Ao Xiaoqiang,$1.1 B,$1.10,52,Male,electrical equipment,China,
#1835,Li Zhen,$1 B,$1,52,Male,lithium batteries,China,
#1845,He Zhiping,$1 B,$1,52,Male,investments,China,
#100,Petr Kellner,$11.3 B,$11.30,52,Male,"banking, insurance",Czech Republic,
#1580,Pavel Tykac,$1.3 B,$1.30,52,Male,coal mine,Czech Republic,
#1237,Martin Moller Nielsen,$1.7 B,$1.70,52,Male,Nordic Aviation Capital,Denmark,
#1416,Niklas Herlin,$1.4 B,$1.40,52,Male,"elevators, escalators",Finland,
#169,Patrick Drahi,$7.7 B,$7.70,52,Male,telecom,France,
#1037,Gilles Martin,$2 B,$2,52,Male,laboratory services,France,
#443,Ralph Dommermuth,$4 B,$4,52,Male,internet service provider,Germany,
#993,Wu Jianshu,$2.1 B,$2.10,52,Male,auto parts,Hong Kong,
#1529,Eduardo Hochschild,$1.3 B,$1.30,52,Male,"inherited, mining",Peru,
#59,Mikhail Fridman,$15.2 B,$15.20,52,Male,"oil, banking, telecom",Russia,
#299,Iskander Makhmudov,$5.2 B,$5.20,52,Male,"mining, metals, machinery",Russia,
#1265,Alexander Frolov,$1.6 B,$1.60,52,Male,"mining, steel",Russia,
#1578,Alexei Ananyev,$1.3 B,$1.30,52,Male,"banking, IT, real estate",Russia,
#1673,Dmitry Pumpyansky,$1.2 B,$1.20,52,Male,steel pipes,Russia,
#1496,Stephen Saad,$1.3 B,$1.30,52,Male,pharmaceuticals,South Africa,
#1817,Peter Kamprad,$1 B,$1,52,Male,IKEA,Sweden,
#767,Ferit Faik Sahenk,$2.6 B,$2.60,52,Male,"banking, media",Turkey,
#681,Michael Ashley,$2.9 B,$2.90,52,Male,sports retailing,United Kingdom,
#1179,Charles Dunstone,$1.7 B,$1.70,52,Male,mobile phones,United Kingdom,
#3,Jeff Bezos,$65.8 B,$65.80,52,Male,Amazon.com,United States,
#357,Dirk Ziff,$4.8 B,$4.80,52,Male,investments,United States,
#561,Tom Gores,$3.3 B,$3.30,52,Male,private equity,United States,
#753,"William Wrigley, Jr.",$2.6 B,$2.60,52,Male,chewing gum,United States,
#1313,O. Francis Biondi,$1.6 B,$1.60,52,Male,hedge fund,United States,
#1561,Evgeny (Eugene) Shvidler,$1.3 B,$1.30,52,Male,"oil & gas, investments",United States,
#1702,Tor Peterson,$1.1 B,$1.10,52,Male,commodities,United States,
#1737,Liu Ming Chung,$1.1 B,$1.10,53,Male,paper manufacturing,Brazil,
#363,Zhang Jindong,$4.7 B,$4.70,53,Male,appliance retailer,China,
#506,Sun Guangxin,$3.6 B,$3.60,53,Male,diversified,China,
#516,Li Shufu,$3.6 B,$3.60,53,Male,automobiles,China,
#600,Lu Xiangyang,$3.2 B,$3.20,53,Male,"automobiles, batteries",China,
#756,Cai Kui,$2.6 B,$2.60,53,Male,real estate,China,
#956,Li Zhongchu,$2.2 B,$2.20,53,Male,software,China,
#1213,Zan Shengda,$1.7 B,$1.70,53,Male,diversified,China,
#1219,Lin Li,$1.7 B,$1.70,53,Male,investments,China,
#1229,Fang Tonghua,$1.7 B,$1.70,53,Male,pharmaceuticals,China,
#1230,Huang Li,$1.7 B,$1.70,53,Male,infrared imaging systems,China,
#1373,Que Wenbin,$1.5 B,$1.50,53,Male,pharmaceuticals,China,
#1383,Sun Shangchuan & family,$1.5 B,$1.50,53,Male,electronics components,China,
#1426,Jiang Zhaobai,$1.4 B,$1.40,53,Male,real estate,China,
#1523,Lu Yonghua,$1.3 B,$1.30,53,Male,electronics,China,
#1628,Liang Guangwei,$1.2 B,$1.20,53,Male,"batteries, mini motors",China,
#1641,Nan Cunhui,$1.2 B,$1.20,53,Male,electrical power equipment,China,
#1767,Liu Ming Hui,$1.1 B,$1.10,53,Male,natural gas distribution,China,
#1800,Wei Shaojun,$1.1 B,$1.10,53,Male,real estate,China,
#244,Heinrich Deichmann,$6 B,$6,53,Male,footwear,Germany,
#403,Stefan Reimann-Andersen,$4.3 B,$4.30,53,Male,consumer goods,Germany,
#1514,Regine Leibinger,$1.3 B,$1.30,53,Male,machine tools,Germany,
#1545,Stefan von Holtzbrinck,$1.3 B,$1.30,53,Male,publishing,Germany,
#296,Pan Sutong,$5.2 B,$5.20,53,Male,"real estate, finance",Hong Kong,
#1424,Stefano Gabbana,$1.4 B,$1.40,53,Male,luxury goods,Italy,
#1359,Petter Stordalen,$1.5 B,$1.50,53,Male,hotels,Norway,
#170,Alexei Kuzmichev,$7.6 B,$7.60,53,Male,"oil, banking, telecom",Russia,
#560,Alexander Nesis,$3.3 B,$3.30,53,Male,"metals, banking, fertilizers",Russia,
#1002,Filaret Galchev,$2.1 B,$2.10,53,Male,construction materials,Russia,
#1738,Andrei Rappoport,$1.1 B,$1.10,53,Male,investments,Russia,
#1808,Elena Baturina,$1.1 B,$1.10,53,Male,construction,Russia,
#1781,Koh Wee Meng,$1.1 B,$1.10,53,Male,"real estate, hotels",Singapore,
#154,Suh Kyung-Bae,$8.5 B,$8.50,53,Male,cosmetics,South Korea,
#1727,Lee Ho-Jin,$1.1 B,$1.10,53,Male,petrochemicals / finance / media / electronics,South Korea,
#1417,Daniel Mate,$1.4 B,$1.40,53,Male,"mining, commodities",Spain,
#1140,Thomas Straumann,$1.8 B,$1.80,53,Male,dental implants,Switzerland,
#1246,Benjamin de Rothschild,$1.6 B,$1.60,53,Male,banking,Switzerland,
#1018,Mustafa Kucuk,$2 B,$2,53,Male,Fashion and Retail,Turkey,
#1425,Ihor Kolomoyskyy,$1.4 B,$1.40,53,Male,"banking, investments",Ukraine,
#1020,Sunil Vaswani,$2 B,$2,53,Male,diversified,United Kingdom,
#1356,Alan Howard,$1.5 B,$1.50,53,Male,hedge funds,United Kingdom,
#420,Gabe Newell,$4.1 B,$4.10,53,Male,videogames,United States,
#800,Robert Smith,$2.5 B,$2.50,53,Male,private equity,United States,
#932,Edward Lampert,$2.2 B,$2.20,53,Male,Sears,United States,
#1542,Sun Hongbin,$1.3 B,$1.30,53,Male,real estate,United States,
#1713,Michael Jordan,$1.1 B,$1.10,53,Male,sports team,United States,
#471,Andrew Forrest,$3.8 B,$3.80,54,Male,mining,Australia,
#552,Joao Moreira Salles,$3.4 B,$3.40,54,Male,"banking, minerals",Brazil,
#989,Carlos Sanchez,$2.1 B,$2.10,54,Male,generic drugs,Brazil,
#395,Shi Yuzhu,$4.4 B,$4.40,54,Male,"online games, investments",China,
#876,Shen Guojun,$2.3 B,$2.30,54,Male,retail,China,
#970,Wu Guangming,$2.1 B,$2.10,54,Male,medical equipment,China,
#1009,Zheng Yuewen,$2 B,$2,54,Male,investments,China,
#1098,Wong Luen Hei,$1.9 B,$1.90,54,Male,home building materials,China,
#1108,Lin Jianhua,$1.8 B,$1.80,54,Male,solar panel components,China,
#1142,Zhu Baoguo,$1.8 B,$1.80,54,Male,pharmaceuticals,China,
#1169,Jiang Wei,$1.8 B,$1.80,54,Male,pharmaceuticals,China,
#1182,Qiu Jianping & family,$1.7 B,$1.70,54,Male,hand tools,China,
#1258,Wang Qingtao,$1.6 B,$1.60,54,Male,steel smelting,China,
#1259,Wen Jianping,$1.6 B,$1.60,54,Male,sewage treatment,China,
#1287,Yu Minhong,$1.6 B,$1.60,54,Male,education,China,
#1342,Qi Jinxing,$1.5 B,$1.50,54,Male,real estate,China,
#1388,Hu Kaijun,$1.5 B,$1.50,54,Male,pharmaceuticals,China,
#1569,Geng Jianming,$1.3 B,$1.30,54,Male,real estate,China,
#1631,Hung Yau Lit,$1.2 B,$1.20,54,Male,intimate wear,China,
#1736,Cao Kejian,$1.1 B,$1.10,54,Male,"air compressors, drills",China,
#1741,Ye Cheng,$1.1 B,$1.10,54,Male,conglomerate,China,
#1443,Aristotelis Mistakidis,$1.4 B,$1.40,54,Male,"mining, commodities",Greece,
#1547,Tianfu Lin,$1.3 B,$1.30,54,Male,"footwear, apparel",Hong Kong,
#380,Gautam Adani,$4.5 B,$4.50,54,Male,"commodities, ports",India,
#340,Chairul Tanjung,$4.9 B,$4.90,54,Male,diversified,Indonesia,
#1085,Michal Solowow,$1.9 B,$1.90,54,Male,investments,Poland,
#127,German Khan,$9.8 B,$9.80,54,Male,"oil, banking, telecom",Russia,
#684,Yuri Milner,$2.9 B,$2.90,54,Male,"Facebook, investments",Russia,
#984,Igor Makarov,$2.1 B,$2.10,54,Male,gas,Russia,
#1454,Patrice Motsepe,$1.4 B,$1.40,54,Male,mining,South Africa,
#1701,D. Leopoldo Del Pino y Calvo-Sotelo,$1.1 B,$1.10,54,Male,construction,Spain,
#1456,Henadiy Boholyubov,$1.4 B,$1.40,54,Male,"banking, investments",Ukraine,
#191,Carl Cook,$7 B,$7,54,Male,medical devices,United States,
#410,Daniel Gilbert,$4.3 B,$4.30,54,Male,Quicken Loans,United States,
#746,Daniel Loeb,$2.6 B,$2.60,54,Male,hedge funds,United States,
#823,Marc Rowan,$2.5 B,$2.50,54,Male,private equity,United States,
#972,Joseph Grendys,$2.1 B,$2.10,54,Male,meat processing,United States,
#1058,"Frank Fertitta, III.",$1.9 B,$1.90,54,Male,"casinos, Ultimate Fighting Championship",United States,
#1261,Antony Ressler,$1.6 B,$1.60,54,Male,finance,United States,
#1395,David Lichtenstein,$1.4 B,$1.40,54,Male,real estate,United States,
#1847,Thomas Kaplan,$1 B,$1,54,Male,investments,United States,
#1853,Randolph Lerner,$1 B,$1,54,Male,finance,United States,
#572,Daryl Katz,$3.3 B,$3.30,55,Male,Pharmacies,Canada,
#1104,Mitchell Goldhar,$1.8 B,$1.80,55,Male,real estate,Canada,
#691,Chen Fashu,$2.8 B,$2.80,55,Male,investments,China,
#699,Yu Yong,$2.8 B,$2.80,55,Male,mining investments,China,
#846,Feng Hailiang,$2.4 B,$2.40,55,Male,"copper, real estate",China,
#1283,Huo Qinghua,$1.6 B,$1.60,55,Male,coal,China,
#1488,Zheng Jianjiang,$1.3 B,$1.30,55,Male,electrical equipment,China,
#1531,Han Tao,$1.3 B,$1.30,55,Male,electronics components,China,
#1852,Yang Keng,$1 B,$1,55,Male,real estate,China,
#273,Nassef Sawiris,$5.4 B,$5.40,55,Male,"construction, chemicals",Egypt,
#1440,Yasseen Mansour,$1.4 B,$1.40,55,Male,diversified,Egypt,
#978,Hans Georg Naeder,$2.1 B,$2.10,55,Male,prosthetics,Germany,
#1410,Sanjiv Goenka,$1.4 B,$1.40,55,Male,diversified,India,
#1500,Ajay Kalsi,$1.3 B,$1.30,55,Male,oil and gas,India,
#1820,G.V. Prasad,$1 B,$1,55,Male,pharmaceuticals,India,
#1336,Paolo Barilla,$1.5 B,$1.50,55,Male,Barilla pasta,Italy,
#1486,Remo Ruffini,$1.3 B,$1.30,55,Male,winter jackets,Italy,
#1303,Vladimir Kim,$1.6 B,$1.60,55,Male,mining,Kazakhstan,
#1326,Aziz Akhannouch,$1.5 B,$1.50,55,Male,"petroleum, diversified",Morocco,
#631,Andreas Halvorsen,$3.1 B,$3.10,55,Male,hedge funds,Norway,
#66,Vladimir Potanin,$13.9 B,$13.90,55,Male,metals,Russia,
#1513,Andrei Kosogov,$1.3 B,$1.30,55,Male,"oil, banking, telecom",Russia,
#622,Chey Tae-Won,$3.1 B,$3.10,55,Male,computer services/telecoms,South Korea,
#1492,Thomas Sandell,$1.3 B,$1.30,55,Male,hedge funds,Sweden,
#1173,Urs Wietlisbach,$1.7 B,$1.70,55,Male,private equity,Switzerland,
#1481,Victor Pinchuk,$1.3 B,$1.30,55,Male,"steel pipes, diversified",Ukraine,
#1105,Mark Coombs,$1.8 B,$1.80,55,Male,finance,United Kingdom,
#1313,David Harding,$1.6 B,$1.60,55,Male,finance,United Kingdom,
#550,Anthony Pritzker,$3.4 B,$3.40,55,Male,"hotels, investments",United States,
#563,David Siegel,$3.3 B,$3.30,55,Male,Hedge Funds,United States,
#743,Daniel Och,$2.6 B,$2.60,55,Male,hedge funds,United States,
#744,Jim Breyer,$2.6 B,$2.60,55,Male,venture capital,United States,
#863,Mark Walter,$2.4 B,$2.40,55,Male,finance,United States,
#908,Noam Gottesman,$2.3 B,$2.30,55,Male,hedge funds,United States,
#943,John Fisher,$2.2 B,$2.20,55,Male,Gap,United States,
#1188,Nicolas Berggruen,$1.7 B,$1.70,55,Male,investments,United States,
#1244,Marc Lasry,$1.6 B,$1.60,55,Male,hedge funds,United States,
#1549,Reed Hastings,$1.3 B,$1.30,55,Male,Netflix,United States,
#1586,"B. Wayne Hughes, Jr.",$1.2 B,$1.20,55,Male,storage facilities,United States,
#360,Anthony Pratt,$4.7 B,$4.70,56,Male,manufacturing,Australia,
#544,Pedro Moreira Salles,$3.4 B,$3.40,56,Male,"banking, minerals",Brazil,
#1228,N. Murray Edwards,$1.7 B,$1.70,56,Male,oil & gas,Canada,
#1511,Guy Laliberte,$1.3 B,$1.30,56,Male,Cirque du Soleil,Canada,
#249,Chu Mang Yee,$5.9 B,$5.90,56,Male,real estate,China,
#416,Zhou Jianping,$4.2 B,$4.20,56,Male,apparel,China,
#793,Huang Wei,$2.5 B,$2.50,56,Male,diversified,China,
#1312,Ke Xiping,$1.6 B,$1.60,56,Male,investments,China,
#1831,Zhang Keqiang,$1 B,$1,56,Male,real estate,China,
#1234,Matthias Reinhart,$1.7 B,$1.70,56,Male,Finance,Germany,
#1541,Yu Peidi,$1.3 B,$1.30,56,Male,real estate,Hong Kong,
#953,Rakesh Jhunjhunwala,$2.2 B,$2.20,56,Male,investments,India,
#1577,Achal Bakeri,$1.3 B,$1.30,56,Male,air coolers,India,
#1607,Martua Sitorus,$1.2 B,$1.20,56,Male,palm oil,Indonesia,
#1336,Luca Barilla,$1.5 B,$1.50,56,Male,Barilla pasta,Italy,
#1362,Sandro Veronesi,$1.5 B,$1.50,56,Male,fashion retailer,Italy,
